date,actual,ensemble_pred,fold,TrendAgent_pred,MomentumAgent_pred,VolatilityAgent_pred,SequenceAgent_pred,TrendAgent_weight,MomentumAgent_weight,VolatilityAgent_weight,SequenceAgent_weight
2013-02-11,-0.0001982362047828,0.0011646986831331091,0,0.000908699413995231,0.0026912479661405087,0.0007403073832392693,0.00031853996915742755,0.2701018679444398,0.16389677245194847,0.2768077823252923,0.28919357727831957
2013-02-12,0.0016464715399803,0.0002809361211239537,0,0.0008961138428557979,-0.0003235919866710901,-2.3490929379477166e-06,0.00032013168674893677,0.3041663180502993,0.14393669435226283,0.25887444339140797,0.29302254420602997
2013-02-13,0.0008546758011229,0.0006524576360686452,0,0.0008871883654951283,0.0028023431077599525,-0.0004420677141752094,0.0003197189071215689,0.34242173758931754,0.10471652391638034,0.23486314465247543,0.3179985938418267
2013-02-14,0.0009196815515818,0.0005146337116928585,0,0.0008818840222275249,0.0002318610204383731,0.00036071109934709966,0.00032597637618891895,0.392994292600195,0.09605739437378472,0.22228204409616337,0.288666268929857
2013-02-15,-0.0011824497526097,0.0011736533737964866,0,0.0008801389714883093,0.0010451115667819977,0.002839334774762392,0.0003333952045068145,0.405461819895512,0.10660529932600639,0.17000416993641518,0.3179287108420665
2013-02-19,0.0074662620655674,0.00038461028112787203,0,0.0009087125564799869,-0.0009653023444116116,2.8023248887620866e-05,0.0003595281159505248,0.4081212993034874,0.10641448896874192,0.17110502072124065,0.31435919100653015
2013-02-20,-0.0125415933937773,0.0005449310288488993,0,0.0009230643346234711,-0.0008142653969116509,0.000917609897442162,0.00031127064721658826,0.3956449162989678,0.11780160253735565,0.1731620357715285,0.31339144539214814
2013-02-21,-0.0060973880694926,0.0007843761559260263,0,0.0009401497516385133,0.0014430169248953462,0.0006335380021482706,0.00042348395800217986,0.3851177819949838,0.12014523016316106,0.17844449929432385,0.31629248854753134
2013-02-22,0.0097251519007259,0.001135805986556688,0,0.0009597620671804094,0.002033214783295989,0.0019906943198293447,0.0005269648972898722,0.3754059509410824,0.13156788036590975,0.1890137644347827,0.30401240425822523
2013-02-25,-0.0192098958306785,0.0014929712889267767,0,0.0010327597576933471,0.0019607702270150185,0.0037366014439612627,0.00046387463225983083,0.3723161942929122,0.1364344982716816,0.18435847317105739,0.3068908342643488
2013-02-26,0.0068219231993164,0.0010177759127976034,0,0.0010600854164169381,0.0009977011941373348,0.0016165442066267133,0.0006156731978990138,0.36739552759655586,0.1419854219034215,0.1948165146802163,0.29580253581980626
2013-02-27,0.0125198402755247,0.0008324138065858961,0,0.0010886701122246982,0.0029666752088814974,-0.0008267106022685766,0.0005823936662636697,0.36497548153625287,0.1568691268952766,0.18677311180064057,0.29138227976783
2013-02-28,-0.0019765477657597,-0.0008126083174232519,0,0.0011182226409500872,-0.004869665019214153,-0.0031207799911499023,0.00043257855577394366,0.3277394360111545,0.15331676680294104,0.22254898017625788,0.29639481700964665
2013-03-01,0.0032922476185738,0.00036618714925598254,0,0.0011484426426362363,0.0013288729824125767,-0.001474997727200389,0.00038569478783756495,0.3539265268145308,0.17462717699701866,0.17327702544927268,0.29816927073917787
2013-03-04,0.0053108958822927,0.00023908784446251854,0,0.0012413179572387221,0.0009402325958944857,-0.0026894337497651577,0.00034067698288708925,0.3715732910962462,0.18679417261385903,0.1420616060068558,0.29957093028303894
2013-03-05,0.0089189373712642,1.9606034586026414e-05,0,0.0012710767472297218,0.0021065701730549335,-0.0065598380751907825,0.00028612243477255106,0.3825936293969476,0.2028916945512217,0.11263338552818825,0.3018812905236425
2013-03-06,0.0013602131595819,-8.193961258445715e-05,0,0.001299919974950177,-0.0006471510860137641,-0.004525158554315567,0.00020440085791051388,0.40753236914666185,0.2057843625145734,0.07068155377483816,0.31600171456392656
2013-03-07,0.001811199437508,0.0009539758079093404,0,0.0013275264283675947,0.0009215008467435837,0.002317040925845504,0.0001884904340840876,0.46528892353642554,0.21651138193123148,0.09067949319596498,0.22752020133637793
2013-03-08,0.004254581532311,0.0007439177362456655,0,0.0013535773132869093,0.0012493872782215476,-0.00222293590195477,0.0001985816634260118,0.47627774086397984,0.22691216872933181,0.07595504508017938,0.22085504532650896
2013-03-11,0.0037882297314646,0.0008826655337099273,0,0.0014205986259832556,0.001097845728509128,-0.0011383614037185907,0.00019658036762848496,0.48866492654252325,0.23351137778185252,0.06883662791013943,0.20898706776548484
2013-03-12,-0.0022453954329306,0.0008204939585971174,0,0.0014373466175389574,0.000684890488628298,-0.0011953070061281323,0.00019362088642083108,0.4305062755264276,0.24142084604355962,0.09534032471556211,0.2327325537144507
2013-03-13,0.0014119199921777,0.0011621533866673823,0,0.0014510399844819798,0.0018415759550407529,0.00037750767660327256,0.0002444223500788212,0.47664896696658493,0.25863195075825374,0.08666880654995006,0.1780502757252113
2013-03-14,0.0053101780238692,0.001685824614197924,0,0.0014614092411615394,0.003926250617951155,-0.0008724175859242678,0.0002774662571027875,0.46544104566463135,0.2919753141146405,0.07772092518236876,0.16486271503835942
2013-03-15,-0.0013211438858759,0.0013561725131263473,0,0.001468198594982118,0.002539567882195115,-0.0014424450928345323,0.0002634292468428612,0.4579454740680489,0.235390047986108,0.10766725669517502,0.19899722125066813
2013-03-18,-0.0055346274027756,0.00035367120291894126,0,0.0014660823858685316,-0.00038516405038535595,-0.0026470539160072803,0.00029121123952791095,0.40997163553714405,0.2505222024368776,0.13567620352266913,0.20382995850330907
2013-03-19,-0.0023252908794275,0.00044652989605150674,0,0.0014563164170942802,-0.001141052576713264,0.0004386282234918326,0.00037202119710855186,0.34616432364918187,0.2981039305548569,0.14391623598150152,0.21181550981445968
2013-03-20,0.0069607586622501,0.0009566974807349414,0,0.0014419442719029655,0.00039880117401480675,0.0017144979210570455,0.00043396034743636847,0.3521167754389284,0.28514198004925373,0.15602037468784624,0.20672086982397164
2013-03-21,-0.0085793920174229,0.001032888917022954,0,0.0014228195790355357,0.0021586152724921703,-0.0010571005987003446,0.0003933210682589561,0.34179487273630343,0.27008210541031985,0.17353542331795987,0.21458759853541695
2013-03-22,0.0080012629052408,0.00043126065333947544,0,0.0013988179552157781,-0.0005546646425500512,2.4271499569294974e-05,0.00046016115811653435,0.35300086428462607,0.2559966268056601,0.1740843499056006,0.21691815900411324
